make,avg_own_km
BMW,17060.060020252233
מרצדס,18084.11410118407
קאדילאק,19466.159554730984
אופל,21083.59851301115
רובר,22025.32908404155
אאודי,22166.455575499214
שברולט,24859.292515395548
מזדה,25030.751657186844
לקסוס,25661.347539956125
קרייזלר,25933.32925170068
פיאט,26658.39119804401
הונדה,28361.76694214876
פורד,29027.738452977184
מיצובישי,29134.645005732786
סוזוקי,29289.6491156277
וולבו,29533.466453674122
יונדאי,29639.697626541092
פולקסווגן,30224.7791952895
קיה,30467.78598691385
סיאט,30552.929441624365
פיג'ו,30823.877666488264
MG,31640.354838709678
ניסאן,32220.077124549833
טויוטה,33352.86244544453
סיטרואן,35782.64393063584
סובארו,36034.53844185749
סקודה,37363.39989710611
רנו,41652.997253339076
דאציה,48078.46100785591
