makemodel,avg_own_km
שברולט TRAX,21496.82801932367
יונדאי TUCSON,21871.44600938967
מזדה MAZDA 2,21941.77849940181
מיצובישי SPACE STAR,22382.740152267463
יונדאי KONA,22562.897142857142
יונדאי I10,22824.122572193428
סוזוקי IGNIS,22829.694805194806
שברולט SPARK,22893.004773614928
קיה PICANTO,23514.93255701116
סיאט LEON,24370.06259204713
פיג'ו 208,24586.907556859867
מזדה CX-5,24625.434523809523
יונדאי I20,25052.643538135595
מיצובישי ECLIPSE CROSS,25102.342071727653
קיה RIO,25747.637945318973
טויוטה YARIS,25821.014509085788
טויוטה RAV 4,25891.204174228675
פיג'ו 2008,26032.370583401807
סוזוקי SWIFT,26181.04884210526
מיצובישי ASX,26548.13587871982
טויוטה COROLLA SDN HSD,26847.774834437085
קיה STONIC,27171.98118834595
שברולט EQUINOX,27192.63582089552
טויוטה C-HR HYBRID,27287.771693344566
הונדה HR-V,27549.17648912701
קיה SPORTAGE,27581.546430323848
פולקסווגן GOLF,27638.390381895333
מזדה MAZDA 3,27687.935364727608
ניסאן MICRA,27867.31818181818
יונדאי SANTA FE,28042.869499241275
הונדה JAZZ,28258.96114096734
סקודה SUPERB,29104.56438896189
סיאט IBIZA,29271.02021533729
מזדה MAZDA 6,29315.222440944883
ניסאן JUKE,29562.14116652578
קרייזלר GRAND CHEROKEE,29630.12802768166
סיטרואן C3,29871.467418546366
סוזוקי VITARA,30173.27366798767
ניסאן QASHQAI,30536.587017662278
סוזוקי SX4 CROSSOVER,30758.07843137255
סוזוקי BALENO,31031.205486368228
יונדאי ELANTRA,31906.783461018476
סיאט ARONA,32362.5036038441
קיה SORENTO,32586.120689655174
פיג'ו 3008,32684.133379405666
מיצובישי OUTLANDER,33243.97878957021
טויוטה YARIS HYBRID,33315.37617135207
שברולט TRAVERSE,33576.68525592055
סיאט ATECA,33645.28775997272
דאציה SANDERO,34162.977521929824
ניסאן X-TRAIL,34246.70268024101
טויוטה RAV 4 HYBRID,34722.804701412795
יונדאי SONATA HYBRID,35102.45674368619
סקודה KAROQ,35377.40511900881
טויוטה COROLLA HSD SDN,35532.440609137055
סובארו XV,35774.80699300699
ניסאן SENTRA,36461.53003161222
טויוטה CAMRY HYBRID,36749.37510656437
יונדאי ACCENT,37060.692307692305
סובארו FORESTER,37408.624033505155
סקודה KODIAQ,37576.00935000563
טויוטה LAND CRUISER,38610.46856060606
פיג'ו 5008,38934.08370702541
סקודה OCTAVIA,39850.53895257947
קיה NIRO,40492.86162249646
רנו MEGANE,40933.60034637327
סקודה RAPID,41699.775
יונדאי IONIQ HYBRID,42106.98778803832
רנו CLIO,42589.68654114365
טויוטה COROLLA TS HSD,43645.088251072964
טויוטה PRIUS PLUS,44688.76591614907
קיה CEED,44937.26574685063
רנו GRAND COUPE,45119.45248645987
רנו KANGOO,53970.36266499057
דאציה DUSTER,56026.583976006856
