make,model,capacity,max_power,avg_power_10_80,opt_range_low,opt_range_high
BYD,ATTO 3,58,86,71.8,2,63
MG,ZS EV,50.3,,,,
Audi,ETRON,64,126,106.6,4,72
GAC,GE3,54.75,,,,
Renault,ZOE,55,46,35,,
Jaguar,I-PACE,90,84,,,
Tesla,MODEL 3,59,160,78.1,3,49
Always,U5,63,92,,,
Peugeot,2008,50,100,,,
Geely,GEOMTERY C,53,70,,,
Hyundai,IONIQ5,84,234,191.6,1,75
Tesla,MODEL Y,57.5,250,101.2,2,50
Skoda,ENYAQ IV,77,125,90.1,6,53
Hyundai,KONA,64,77,,,
Seres,SERES 3,51,56,,,
Skywell,ET5,72,,,,
MG,MG4,64,142,116
BYD,DOLPHIN,60.4,88,65
TOYOTA,BZ4X,64,147,100
