שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,pop,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,coords,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,name,אשכול רשויות מקומיות,lon,lat,lonlat,distance,duration,g_orig,g_dest,crow_dist,mode,speed,ratio
אבטליון,1275,AVTALYON,2,הצפון,24,עכו,241.0,56.0,מועצה אזורית משגב,,1.0,475.0,475.0,455.0,0.0,1987,370,10.0,2332474908.0,360.0,205.0,10004513.0,2021,Avtalyon,210.0,35.35166104214529,32.836390789833146,"32.8364,35.3517",89463,10707,"Hof HaCarmel Regional Council, Israel","Yefe Nof St 55, Avtalion, Israel",32259.188102029882,transit,10.846462796983989,0.36058692534377207
אביאל,679,AVI'EL,3,חיפה,32,חדרה,324.0,45.0,מועצה אזורית אלונה,,1.0,820.0,820.0,808.0,0.0,1949,310,9.0,1996171533.0,53.0,351.0,10004333.0,2021,Avi'el,,34.99318577934077,32.531972371729175,"32.5320,34.9932",29956,6539,"Hof HaCarmel Regional Council, Israel","312, Aviel, Israel",30227.56972523606,transit,16.64157378970023,1.0090656204178148
אביבים,1115,AVIVIM,2,הצפון,21,צפת,212.0,2.0,מועצה אזורית מרום הגליל,,1.0,470.0,470.0,468.0,0.0,1960,310,1.0,2444177707.0,723.0,209.0,10004528.0,2021,Avivim,211.0,35.47172287649953,33.08856869455765,"33.0886,35.4717",138940,11365,"Hof HaCarmel Regional Council, Israel","21, Avivim, Israel",53588.81987702195,transit,16.974901148902685,0.38569756641011915
אביגדור,819,AVIGEDOR,6,הדרום,61,אשקלון,611.0,33.0,מועצה אזורית באר טוביה,143.0,1.0,806.0,806.0,801.0,0.0,1950,310,1.0,1757362428.0,64.0,616.0,10001821.0,2021,Avigedor,420.0,34.74314741759324,31.710233730927698,"31.7102,34.7431",184820,12159,"Hof HaCarmel Regional Council, Israel","16, Avigdor, Israel",124103.33496697598,transit,36.74414062678785,0.6714821716641921
אביטל,2052,AVITAL,2,הצפון,23,יזרעאל,234.0,8.0,מועצה אזורית הגלבוע,,1.0,489.0,489.0,489.0,0.0,1953,310,1.0,2291271816.0,72.0,204.0,10004394.0,2021,Avital,213.0,35.30733599792143,32.5576266043484,"32.5576,35.3073",75967,7919,"Hof HaCarmel Regional Council, Israel","81, Avital, Israel",39100.52738264923,transit,17.775211336979066,0.5147041133998872
אביעזר,1070,AVI'EZER,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,890.0,890.0,885.0,0.0,1958,310,2.0,2016662104.0,374.0,151.0,15000597.0,2021,Avi'ezer,,35.01675403512907,31.681709943520303,"31.6817,35.0168",147557,11549,"Hof HaCarmel Regional Council, Israel","201, Aviezer, Israel",124739.99589138081,transit,38.88336524452082,0.8453682027377949
אבירים,1220,ABBIRIM,2,הצפון,24,עכו,244.0,52.0,מועצה אזורית מעלה יוסף,,1.0,296.0,296.0,280.0,0.0,1980,370,19.0,2271577149.0,560.0,255.0,10004484.0,2021,Abbirim,212.0,35.286802569833036,33.03851559890549,"33.0385,35.2868",93364,9457,"Hof HaCarmel Regional Council, Israel","Hasadna בית ספר למלאכות העץ, Abirim, Israel",36835.564720996634,transit,14.02220926251326,0.39453713123898543
אבן מנחם,1081,EVEN MENAHEM,2,הצפון,24,עכו,244.0,52.0,מועצה אזורית מעלה יוסף,,1.0,278.0,278.0,274.0,0.0,1960,310,1.0,2278177545.0,604.0,255.0,10004302.0,2021,Even Menahem,212.0,35.29390402007509,33.07421634419406,"33.0742,35.2939",84948,8489,"Hof HaCarmel Regional Council, Israel","11, Even Menachem, Israel",40182.86475892079,transit,17.040677716116722,0.4730289678264443
אבן ספיר,783,EVEN SAPPIR,1,ירושלים,11,ירושלים,111.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,686.0,686.0,679.0,0.0,1950,310,1.0,2128463002.0,609.0,151.0,10002521.0,2021,Even Sappir,,35.13460168102377,31.76281485068079,"31.7628,35.1346",137674,11117,"Hof HaCarmel Regional Council, Israel","Shoham St 53, Even Sapir, Israel",116323.17822620212,transit,37.668745310275035,0.8449175459869119
אבני איתן,4011,AVNE ETAN,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,811.0,811.0,808.0,0.0,1978,310,2.0,2719674774.0,381.0,219.0,10004579.0,2021,Avne Etan,211.0,35.76513247633765,32.82313898096679,"32.8231,35.7651",129785,10873,"Hof HaCarmel Regional Council, Israel","36, Avnei Eitan",70727.23742778646,transit,23.417461118369474,0.5449569474730243
