סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0 ,לא רשום ,0 ,לא ידוע ,0 , ,0 , ,28407 ,5143 ,2560 ,1250 ,593 ,648 ,18213
7 ,שחר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,780 ,59 ,192 ,268 ,92 ,74 ,95
10 ,תירוש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,445 ,35 ,73 ,161 ,51 ,58 ,67
11 ,ניר ח"ן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,625 ,46 ,127 ,201 ,81 ,59 ,111
13 ,חצבה ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,771 ,50 ,199 ,232 ,99 ,41 ,150
15 ,נועם ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,449 ,34 ,101 ,152 ,60 ,43 ,59
16 ,בית ניר ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,699 ,27 ,181 ,213 ,128 ,61 ,89
18 ,שדה משה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,663 ,61 ,184 ,206 ,86 ,45 ,81
21 ,באר אורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,1236 ,75 ,418 ,371 ,253 ,73 ,46
22 ,מקווה ישראל ,53 ,חולון ,53 ,חולון ,0 , ,212 ,20 ,33 ,79 ,33 ,15 ,32
23 ,אמציה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,245 ,26 ,63 ,83 ,21 ,17 ,35
24 ,לכיש ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,893 ,59 ,192 ,298 ,135 ,103 ,106
26 ,ראש פינה ,21 ,צפת ,21 ,צפת ,0 , ,3519 ,226 ,700 ,1167 ,459 ,339 ,628
27 ,שדות מיכה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,387 ,27 ,94 ,121 ,45 ,42 ,58
28 ,מזכרת בתיה ,44 ,רחובות ,44 ,רחובות ,0 , ,17190 ,1179 ,4605 ,5661 ,2557 ,1328 ,1860
29 ,יסוד המעלה ,21 ,צפת ,21 ,צפת ,0 , ,1851 ,125 ,357 ,662 ,253 ,185 ,269
31 ,אופקים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,38821 ,5280 ,9174 ,14418 ,3276 ,2705 ,3968
32 ,עוצם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,703 ,76 ,162 ,239 ,68 ,77 ,81
33 ,בת שלמה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,655 ,46 ,156 ,231 ,80 ,58 ,84
35 ,גדות ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,547 ,42 ,109 ,172 ,62 ,45 ,117
36 ,שדה דוד ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,727 ,75 ,196 ,252 ,80 ,42 ,82
37 ,איתן ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,637 ,90 ,157 ,232 ,50 ,45 ,63
38 ,כרי דשא ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,3 ,0 ,0 ,0 ,0 ,1 ,2
39 ,גפן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,404 ,33 ,104 ,130 ,43 ,44 ,50
41 ,אליכין ,41 ,השרון ,32 ,חדרה ,0 , ,3733 ,295 ,743 ,1284 ,451 ,423 ,537
43 ,מטולה ,21 ,צפת ,21 ,צפת ,0 , ,1886 ,106 ,247 ,831 ,210 ,171 ,321
44 ,זוהר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,359 ,26 ,82 ,126 ,34 ,27 ,64
46 ,יבנאל ,22 ,כנרת ,22 ,טבריה ,0 , ,4782 ,530 ,1510 ,1555 ,397 ,334 ,456
47 ,כפר תבור ,22 ,כנרת ,22 ,טבריה ,0 , ,4944 ,295 ,1180 ,1586 ,674 ,482 ,727
48 ,מנחמיה ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,1276 ,99 ,220 ,441 ,148 ,118 ,250
49 ,אילניה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,585 ,21 ,109 ,211 ,81 ,76 ,87
52 ,לוזית ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,878 ,77 ,275 ,276 ,135 ,56 ,59
53 ,עתלית ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,11157 ,1167 ,2930 ,3689 ,1363 ,697 ,1311
55 ,נוגה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,604 ,51 ,123 ,197 ,81 ,52 ,100
57 ,כנרת )קבוצה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,884 ,46 ,166 ,288 ,120 ,81 ,183
58 ,מצפה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,146 ,9 ,19 ,45 ,15 ,17 ,41
59 ,נחושה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1542 ,108 ,577 ,533 ,220 ,52 ,52
62 ,דגניה א' ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,692 ,46 ,107 ,231 ,84 ,61 ,163
63 ,כנרת )מושבה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,691 ,45 ,85 ,254 ,88 ,84 ,135
64 ,יד רמב"ם ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1207 ,103 ,247 ,423 ,152 ,112 ,170
65 ,מגדל ,22 ,כנרת ,22 ,טבריה ,0 , ,2151 ,183 ,477 ,742 ,233 ,219 ,297
66 ,מרחביה )קיבוץ( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1437 ,85 ,354 ,442 ,228 ,96 ,232
67 ,אור הנר ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,996 ,85 ,243 ,344 ,133 ,59 ,132
69 ,ניר עוז ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,484 ,33 ,109 ,153 ,45 ,39 ,105
70 ,אשדוד ,61 ,אשקלון ,69 ,אשדוד ,0 , ,257079 ,21338 ,51004 ,84310 ,30146 ,23808 ,46473
71 ,אשבול ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,694 ,54 ,202 ,219 ,98 ,49 ,72
72 ,גן שמואל ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1249 ,102 ,223 ,352 ,176 ,103 ,293
74 ,עין הוד ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,710 ,50 ,133 ,209 ,102 ,92 ,124
76 ,כפר גלעדי ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,784 ,45 ,131 ,236 ,121 ,67 ,184
77 ,איילת השחר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1171 ,69 ,247 ,345 ,170 ,95 ,245
78 ,קרית ענבים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,450 ,31 ,87 ,134 ,69 ,42 ,87
79 ,דגניה ב' ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,839 ,54 ,172 ,250 ,125 ,83 ,155
80 ,נהלל ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1307 ,139 ,305 ,451 ,142 ,96 ,174
82 ,עין חרוד )מאוחד( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,959 ,60 ,186 ,281 ,141 ,73 ,218
84 ,תל יוסף ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,592 ,56 ,147 ,158 ,84 ,38 ,109
85 ,כפר יחזקאל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1168 ,97 ,311 ,386 ,170 ,54 ,150
86 ,גבע ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,706 ,43 ,124 ,233 ,79 ,68 ,159
88 ,כרם בן שמן ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,94 ,7 ,26 ,16 ,14 ,8 ,23
89 ,עין חרוד )איחוד( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,738 ,39 ,144 ,201 ,93 ,69 ,192
90 ,חפצי-בה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,898 ,53 ,219 ,270 ,125 ,62 ,169
92 ,גיניגר ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,819 ,49 ,178 ,239 ,115 ,79 ,159
94 ,בלפוריה ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,612 ,53 ,148 ,194 ,91 ,41 ,85
95 ,בית אלפא ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1370 ,119 ,276 ,515 ,125 ,105 ,230
96 ,יגור ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,1930 ,125 ,345 ,697 ,281 ,128 ,354
97 ,מרחביה )מושב( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,797 ,59 ,138 ,287 ,102 ,92 ,119
98 ,כפר מל"ל ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,364 ,27 ,65 ,101 ,48 ,38 ,85
99 ,מצפה רמון ,62 ,באר שבע ,62 ,באר שבע ,0 , ,5744 ,625 ,1169 ,2313 ,535 ,426 ,676
102 ,מאיר שפיה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,159 ,4 ,35 ,65 ,18 ,7 ,30
103 ,תל עדשים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1361 ,82 ,383 ,421 ,243 ,112 ,120
104 ,מזרע ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1002 ,84 ,179 ,297 ,114 ,89 ,239
106 ,כפר גדעון ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,354 ,44 ,98 ,120 ,36 ,12 ,44
107 ,כפר סילבר ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,115 ,6 ,14 ,49 ,26 ,12 ,8
112 ,כפר חסידים א' ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,833 ,67 ,215 ,261 ,92 ,58 ,140
113 ,אדירים ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,336 ,24 ,72 ,111 ,52 ,30 ,47
115 ,חופית ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1034 ,65 ,188 ,315 ,158 ,103 ,205
122 ,רמת ישי ,23 ,עפולה ,23 ,עפולה ,0 , ,8359 ,575 ,1766 ,2783 ,1103 ,726 ,1406
126 ,שריד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1172 ,60 ,275 ,296 ,180 ,101 ,260
127 ,רמת רחל ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,565 ,50 ,129 ,170 ,81 ,44 ,91
128 ,גת רימון ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,258 ,17 ,50 ,73 ,44 ,16 ,58
130 ,משמר העמק ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1416 ,102 ,247 ,430 ,209 ,138 ,290
132 ,כפר ברוך ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,748 ,70 ,242 ,221 ,108 ,31 ,76
133 ,גבת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1066 ,91 ,252 ,276 ,168 ,61 ,218
134 ,יפעת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1281 ,71 ,313 ,365 ,214 ,88 ,230
