make,ownership_count
מרצדס,2.8474514118078473
BMW,2.8366013071895426
אופל,2.282608695652174
אאודי,2.245205479452055
קרייזלר,2.2106995884773664
רנו,2.0890940853506366
מזדה,2.0609837313290837
שברולט,2.014480262023789
מיצובישי,1.9967715293940986
יונדאי,1.987600291757841
סקודה,1.9567240577012563
פיג'ו,1.8849835242428998
קיה,1.8827742429794463
לקסוס,1.8653968253968254
פורד,1.8636363636363635
ניסאן,1.8303671787186213
פיאט,1.7996794871794872
סיאט,1.7795789710683327
טויוטה,1.7763310344827585
הונדה,1.71537558685446
וולבו,1.6668663870581186
סוזוקי,1.6568805822031094
MG,1.629737609329446
סיטרואן,1.628747795414462
סובארו,1.6284794110881067
דאציה,1.6149696561024949
פולקסווגן,1.4755089058524173
איסוזו,
