,name,place_id,vicinity,lat,lng,link
0,בית כנסת,ChIJEf84smVTABURJFdMe35nHDc,Ketura,29.9702387,35.0617112,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJEf84smVTABURJFdMe35nHDc"" rel=""noopener noreferrer"" target=""_blank"">ChIJEf84smVTABURJFdMe35nHDc</a>"
1,Goldstein Synagogue,ChIJYevlDsbXAhURfaD5L668DWY,Jerusalem,31.7701734,35.1978776,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJYevlDsbXAhURfaD5L668DWY"" rel=""noopener noreferrer"" target=""_blank"">ChIJYevlDsbXAhURfaD5L668DWY</a>"
2,Or Yesharim Synagogue,ChIJIysRAefXAhURGYL9pMm77JI,"Yossi Ben Yo'ezer St 22, Jerusalem",31.7556026,35.2072292,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJIysRAefXAhURGYL9pMm77JI"" rel=""noopener noreferrer"" target=""_blank"">ChIJIysRAefXAhURGYL9pMm77JI</a>"
3,בית הכנסת ישועת ישראל,ChIJO0tCLpUpAxURtTcVw1lltNU,"Hebron Rd 124, Jerusalem",31.7508399,35.2186037,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJO0tCLpUpAxURtTcVw1lltNU"" rel=""noopener noreferrer"" target=""_blank"">ChIJO0tCLpUpAxURtTcVw1lltNU</a>"
4,Hovevei Tzion Synagogue,ChIJBY70vysoAxURB7JUH-sF6So,"Hovevei Tsiyon St 14, Jerusalem",31.7703522,35.2188925,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJBY70vysoAxURB7JUH-sF6So"" rel=""noopener noreferrer"" target=""_blank"">ChIJBY70vysoAxURB7JUH-sF6So</a>"
5,בית כנסת בית יעקב,ChIJ-aq1qKnXAhUR87n7dllxd3o,"HaRav Frank St 31, Jerusalem",31.7633541,35.1867249,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJ-aq1qKnXAhUR87n7dllxd3o"" rel=""noopener noreferrer"" target=""_blank"">ChIJ-aq1qKnXAhUR87n7dllxd3o</a>"
6,Jerusalem synagogue,ChIJf7NvN0DXAhURF8bIsEVcHbk,"Chopin St 1, Jerusalem",31.768959,35.2139441,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJf7NvN0DXAhURF8bIsEVcHbk"" rel=""noopener noreferrer"" target=""_blank"">ChIJf7NvN0DXAhURF8bIsEVcHbk</a>"
7,Yehuda Synagogue damper,ChIJ30VD3I_XAhURPYgDmFDkLr4,Jerusalem,31.7549208,35.1835633,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJ30VD3I_XAhURPYgDmFDkLr4"" rel=""noopener noreferrer"" target=""_blank"">ChIJ30VD3I_XAhURPYgDmFDkLr4</a>"
8,Yisa Bracha Synagogue,ChIJRUkNuisoAxURlbEVgAynsHk,Jerusalem,31.7709091,35.21832000000001,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJRUkNuisoAxURlbEVgAynsHk"" rel=""noopener noreferrer"" target=""_blank"">ChIJRUkNuisoAxURlbEVgAynsHk</a>"
9,Beit Kneset Migdal Hashoshanim,ChIJg6B9AywoAxURT-QVOJ5Kw5I,Jerusalem,31.7686191,35.220901,"<a href=""https://www.google.com/maps/place/?q=place_id:ChIJg6B9AywoAxURT-QVOJ5Kw5I"" rel=""noopener noreferrer"" target=""_blank"">ChIJg6B9AywoAxURT-QVOJ5Kw5I</a>"
