segment_id,score,par
17421855,0.64,"{'f': 'bathtub', 'capacity': 10, 'drainage': 6, 'fwind': 1, 'intercept': 1.0351399025830004, 'c_soil': -0.47812323310962573, 'c_rain': -0.012627304776153897}"
17443790,0.389,"{'f': 'bathtub', 'capacity': 20, 'drainage': 12, 'fwind': 0, 'intercept': 1.1227448299018907, 'c_soil': -0.08744133211550174, 'c_rain': -0.002635567460485029}"
1717839,0.632,"{'f': 'bathtub', 'capacity': 20, 'drainage': 12, 'fwind': 0, 'intercept': 1.5549800971620882, 'c_soil': -0.1752024392511168, 'c_rain': -0.0005571785938936119}"
7774409,0.507,"{'f': 'bathtub', 'capacity': 20, 'drainage': 2, 'fwind': 1, 'intercept': 1.449460799303472, 'c_soil': -0.08703771337026191, 'c_rain': -0.002857904081039772}"
5230474,0.366,"{'f': 'bathtub', 'capacity': 5, 'drainage': 2, 'fwind': 1, 'intercept': 0.9539384959227535, 'c_soil': -1.2891899528780997, 'c_rain': -0.00655302908308382}"
24442901,0.702,"{'f': 'bathtub', 'capacity': 20, 'drainage': 2, 'fwind': 1, 'intercept': 1.2949236272892333, 'c_soil': -0.07605732628769028, 'c_rain': -0.007831155084010864}"
1248017,0.396,"{'f': 'bathtub', 'capacity': 20, 'drainage': 2, 'fwind': 1, 'intercept': 1.2934907583164743, 'c_soil': -0.06108039896258444, 'c_rain': -0.005384363331134754}"
4267589,0.112,"{'f': 'bathtub', 'capacity': 20, 'drainage': 2, 'fwind': 0, 'intercept': 1.2120459484865105, 'c_soil': -0.027719176439965184, 'c_rain': -0.00846892851166825}"
2481821,0.72,"{'f': 'bathtub', 'capacity': 20, 'drainage': 12, 'fwind': 1, 'intercept': 1.1620864336180132, 'c_soil': -0.22503673044497108, 'c_rain': -0.0031687557854929395}"
1222143,0.366,"{'f': 'bathtub', 'capacity': 5, 'drainage': 2, 'fwind': 1, 'intercept': 0.8616977382980284, 'c_soil': -1.600253738848627, 'c_rain': -0.03843563248893516}"
8678209,0.577,"{'f': 'bathtub', 'capacity': 20, 'drainage': 12, 'fwind': 0, 'intercept': 1.0384062657780933, 'c_soil': -0.05149159789024224, 'c_rain': -0.014049180726012878}"
4202076,0.427,"{'f': 'bathtub', 'capacity': 20, 'drainage': 2, 'fwind': 0, 'intercept': 1.6832634366178891, 'c_soil': -0.07826758361834911, 'c_rain': -0.0031418205838485637}"
3808938,0.111,"{'f': 'bathtub', 'capacity': 10, 'drainage': 2, 'fwind': 0, 'intercept': 0.9599903625749358, 'c_soil': -0.054419429099736155, 'c_rain': -0.0030105741909040706}"
8574425,0.401,"{'f': 'bathtub', 'capacity': 10, 'drainage': 6, 'fwind': 0, 'intercept': 1.2748079381184456, 'c_soil': -0.20639960516049324, 'c_rain': -0.004161306830968172}"
6958098,0.534,"{'f': 'bathtub', 'capacity': 5, 'drainage': 2, 'fwind': 1, 'intercept': 1.046253681720201, 'c_soil': -0.6662834509070521, 'c_rain': -0.05920695208035474}"
