,dummy,trail,region,date,description,condition,link
0,,Kiryat Ata official,Kiryat Ata Forest,"Dec 1, 2020 @ 11:58pm9 hours","ישנן נקודות בודדות דביקות.ממליץ לא לעשות את הקטע שמחבר את החנייה בקריית אתא. בקטע הזה, שאינו מייצג את שאר הסינגל, יש מעט בוץ.",Dry,view
1,,Kiryat Ata official,Kiryat Ata Forest,"Dec 1, 2020 @ 11:52pm9 hours","יש נקודות בודדות של דביקות.ממליץ לא להיכנס לקטע שמחבר את החנייה בקריית אתא. בקטע הזה קצת בוצי,אך לגמרי לא מאפיין את שאר הסינגל",Dry,view
2,,Skulls,Ofer Forest,"Dec 1, 2020 @ 10:39pm10 hours",,Dry,view
3,,Shloohit,Ofer Forest,"Dec 1, 2020 @ 10:39pm10 hours",,Ideal,view
4,,Ridge line,Ofer Forest,"Dec 1, 2020 @ 10:39pm10 hours",,Dry,view
5,,טיילת נחל ציפורי,Lower Galillee,"Nov 30, 2020 @ 1:29am2 days",,Unknown,view
6,,Foxie,Misgav,"Nov 29, 2020 @ 9:06pm2 days",,Variable,view
7,,Misgav KKL 06,Misgav,"Nov 29, 2020 @ 9:06pm2 days",,Ideal,view
8,,Forest Road,Misgav,"Nov 29, 2020 @ 9:06pm2 days",,Ideal,view
9,,Dust,Misgav,"Nov 29, 2020 @ 9:06pm2 days",,Ideal,view
10,,Dreamer 3,Misgav,"Nov 29, 2020 @ 9:06pm2 days",,Ideal,view
11,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Nov 28, 2020 @ 10:45pmNov 28, 2020",,Variable,view
12,,Carmel Coast - Kerem Maharal to Zeitim,Ofer Forest,"Nov 28, 2020 @ 10:45pmNov 28, 2020",,Variable,view
13,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Nov 28, 2020 @ 10:45pmNov 28, 2020",,Variable,view
14,,Carmel Coast  - Furadis Bat Shlomo,Ofer Forest,"Nov 28, 2020 @ 10:45pmNov 28, 2020",,Variable,view
15,,Carmel Coast - Zeitim to Fureidis,Ofer Forest,"Nov 28, 2020 @ 10:45pmNov 28, 2020",,Wet,view
16,,Carmel Coast  - Furadis Bat Shlomo,Ofer Forest,"Nov 28, 2020 @ 10:45pmNov 28, 2020",,Wet,view
17,,Connector,Ofer Forest,"Nov 28, 2020 @ 10:45pmNov 28, 2020",,Variable,view
18,,Carmel Coast - Zeitim to Fureidis,Ofer Forest,"Nov 28, 2020 @ 10:45pmNov 28, 2020",,Wet,view
19,,Zippori promenade,Kiryat Ata Forest,"Nov 28, 2020 @ 2:38amNov 28, 2020",,Dry,view
20,,Swing,Kfar Glikson,"Nov 28, 2020 @ 12:46amNov 28, 2020",muddy,Wet,view
21,,The Short,Kfar Glikson,"Nov 28, 2020 @ 12:46amNov 28, 2020",muddy,Wet,view
22,,Road Gap,Misgav,"Nov 26, 2020 @ 9:50pmNov 26, 2020",,Ideal,view
23,,Dreamer 3,Misgav,"Nov 26, 2020 @ 9:50pmNov 26, 2020",,Variable,view
24,,Pensioners,Mt. Carmel National Park,"Nov 26, 2020 @ 8:33pmNov 26, 2020",,Variable,view
25,,Misgav KKL 10,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Wet,view
26,,Misgav KKL 06,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Wet,view
27,,Misgav KKL 05,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Wet,view
28,,Misgav KKL 04,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Wet,view
29,,Misgav KKL 11,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Prevalent Mud,view
30,,Misgav KKL 12,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Wet,view
31,,Misgav KKL 03,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Wet,view
32,,Misgav KKL 02,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Wet,view
33,,Misgav KKL 01,Misgav,"Nov 26, 2020 @ 8:14pmNov 26, 2020",reporter,Wet,view
34,,Pine Kernel,Misgav,"Nov 24, 2020 @ 11:23pmNov 24, 2020",,Ideal,view
35,,Respect,Misgav,"Nov 23, 2020 @ 9:48pmNov 23, 2020",E-Bike,Ideal,view
36,,Cappuccino & Zuta,Misgav,"Nov 23, 2020 @ 9:48pmNov 23, 2020",E-Bike,Ideal,view
37,,Flat Tyre,Misgav,"Nov 23, 2020 @ 9:48pmNov 23, 2020",E-Bike,Ideal,view
38,,Dreamer 2,Misgav,"Nov 23, 2020 @ 9:48pmNov 23, 2020",E-Bike,Ideal,view
39,,Aurora,Misgav,"Nov 23, 2020 @ 9:48pmNov 23, 2020",E-Bike,Ideal,view
40,,Kabush,Misgav,"Nov 23, 2020 @ 9:48pmNov 23, 2020",E-Bike,Ideal,view
41,,Intelligents,Misgav,"Nov 19, 2020 @ 9:57pmNov 19, 2020",E-Bike,Ideal,view
42,,Forest Road,Misgav,"Nov 19, 2020 @ 9:57pmNov 19, 2020",E-Bike,Ideal,view
43,,Forest Road,Misgav,"Nov 19, 2020 @ 9:57pmNov 19, 2020",E-Bike,Ideal,view
44,,Be'orot,Misgav,"Nov 19, 2020 @ 9:57pmNov 19, 2020",E-Bike,Ideal,view
45,,Mini Enduro,Misgav,"Nov 19, 2020 @ 9:57pmNov 19, 2020",E-Bike,Ideal,view
46,,Roots,Misgav,"Nov 19, 2020 @ 9:57pmNov 19, 2020",E-Bike,Ideal,view
47,,Molykote,Misgav,"Nov 19, 2020 @ 9:57pmNov 19, 2020",E-Bike,Ideal,view
48,,Pine Kernel,Misgav,"Nov 18, 2020 @ 6:33amNov 18, 2020",Overgrown vegetation,Ideal,view
49,,Horshat Dgania,Hanita,"Nov 17, 2020 @ 9:18pmNov 17, 2020",,Ideal,view
50,,Hanita Matzuva link,Hanita,"Nov 17, 2020 @ 9:18pmNov 17, 2020",,Variable,view
51,,Matzuva,Hanita,"Nov 17, 2020 @ 9:18pmNov 17, 2020",,Ideal,view
52,,Har Porehach,Hanita,"Nov 17, 2020 @ 9:18pmNov 17, 2020",,Ideal,view
53,,Hanita,Hanita,"Nov 17, 2020 @ 9:18pmNov 17, 2020",,Ideal,view
54,,Connector,Kiryat Tivon,"Nov 17, 2020 @ 8:30pmNov 17, 2020",,Dry,view
55,,Lost Glasses,Kiryat Tivon,"Nov 17, 2020 @ 8:30pmNov 17, 2020",,Ideal,view
56,,Tzafrir - Avocado,Kiryat Tivon,"Nov 17, 2020 @ 8:30pmNov 17, 2020",,Ideal,view
57,,Access trail,Kiryat Tivon,"Nov 17, 2020 @ 8:30pmNov 17, 2020",,Ideal,view
