date,hmd_rlt Bazan,prs_lvl_hgt Bazan,tmp_air_dry Bazan,tmp_air_wet Bazan,tmp_dew_pnt Bazan,wind_dir Bazan,wind_spd Bazan,hmd_rlt Afek,prs_lvl_hgt Afek,tmp_air_dry Afek,tmp_air_wet Afek,tmp_dew_pnt Afek,wind_dir Afek,wind_spd Afek,prs_lvl_hgt Technion,tmp_air_dry Technion,inversion_bywind,inversion_bytemp_delta,inversion_byboth
2017-01-01,80.0,0.0,11.875,10.125,8.325,142.5,2.625,79.5,0.0,11.499999999999998,9.737499999999999,7.8500000000000005,178.75,1.6875,0.0,10.025,0,1,0
2017-01-02,80.125,0.0,11.8875,10.2,8.4875,160.0,4.3125,85.125,0.0,11.225,9.9875,8.725,146.25,2.0,0.0,10.787500000000001,0,2,0
2017-01-03,77.875,0.0,12.775,10.7,8.700000000000001,173.75,3.1875,85.625,0.0,11.775,10.525,9.250000000000002,157.5,1.875,0.0,11.649999999999999,0,2,0
2017-01-04,82.875,0.0,12.3125,10.787500000000001,9.275,148.75,2.875,86.125,0.0,12.25,11.0375,9.9,128.75,1.875,0.0,11.3875,0,1,0
2017-01-05,68.625,0.0,13.812499999999998,10.875000000000002,7.824999999999999,127.5,4.1875,69.625,0.0,13.7,10.775000000000002,7.6375,121.25,2.5,0.0,12.4,0,0,0
2017-01-06,43.75,0.0,14.9125,9.4,2.5375,127.5,6.5625,44.0,0.0,14.787500000000001,9.3375,2.4625,126.25,6.0,0.0,12.6375,0,0,0
2017-01-07,55.5,0.0,13.9875,9.775,4.9125000000000005,177.5,5.125,59.5,0.0,13.9,10.1375,5.925000000000001,183.75,3.5625,0.0,13.3375,0,2,0
2017-01-08,48.625,0.0,14.375,9.5,3.5375,198.75,7.875,52.5,0.0,13.55,9.200000000000001,3.9125,186.25,5.875,0.0,12.012500000000001,0,0,0
2017-01-09,76.375,0.0,10.975000000000001,8.975,6.6375,192.5,7.875,80.0,0.0,10.65,9.0,7.062499999999999,157.5,4.125,0.0,9.075000000000001,0,0,0
2017-01-10,63.375,0.0,11.112499999999999,7.987500000000001,4.0625,130.0,5.4375,64.5,0.0,10.875000000000002,7.825,3.9625,142.5,3.625,0.0,8.962499999999999,0,1,0
2017-01-11,71.25,0.0,11.262500000000001,8.6875,5.799999999999999,171.25,3.125,71.5,0.0,11.2625,8.75,5.9375,138.75,1.125,0.0,11.825000000000001,0,4,0
2017-01-12,55.875,0.0,12.987499999999999,8.825,3.8125,183.75,3.8125,61.5,0.0,11.875,8.3375,4.0,187.5,1.9375,0.0,12.499999999999998,0,3,0
2017-01-13,80.125,0.0,12.674999999999999,10.8,8.962500000000002,247.5,4.0625,80.625,0.0,12.700000000000001,10.924999999999999,9.2125,193.75,1.75,0.0,12.325000000000001,0,3,0
